,Product_id,manufacturer,Device Type,Status,Warranty_name,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
571,10442484,ایسوس,Vivobook,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),12644000.0,579900000.0,548464500,نقره ای,1.8,Intel,Corei7,12700H,24,16,15.6,OLED,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX3050,
572,10002401,ایسوس,VivoBook,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),6976000.0,312900000.0,300000000,نقره ای,1.8,Intel,Corei7,1065G7,8,16,15.6,,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX330GDDR5,لیتیوم-یونی
573,11281670,ایسوس,Vivobook,marketable,کسری سرویس (کسری تامین اندیشان ستد نیشتمان),6322000.0,289900000.0,0,نقره ای,1.7,Intel,Corei5,1235U,12,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,
574,12958029,لنوو,LOQ,marketable,سریر,16350000.0,749900000.0,740500000,خاکستری,2.4,Intel,Corei7,13620H,24,64,15.6,IPS level panel,بدون درایو نوری,DDR5,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX4060,
575,9620532,اپل,MacBook,marketable,پیکسل,15826800.0,723900000.0,686900000,سرمه ای,1.24,Apple,M2,8‑Core,20,8,13.6,Liquid Retina XDR,بدون درایو نوری,Unified,SSD,Apple Mac OS,Apple,M210‑core,لیتیوم پلیمری
576,11412706,لنوو,IdeaPad,marketable,ایرانیان رهجو گستر,3193700.0,146450000.0,146690000,خاکستری,1.58,AMD,Ryzen3,7320U,4,4,15.6,TN,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,AMD,Radeon610M,
577,12709552,ایسر,Aspire,marketable,سازگار,7194000.0,306900000.0,284990000,نقره ای,1.7,Intel,Corei7,1165G7,12,12,15.6,TFT LED-backlit LCD,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,NVIDIA,GeForceMX350GDDR5,سه سلولی
578,12363630,اپل,MacBook,marketable,آروند,14148200.0,648400000.0,632900000,سرمه ای,1.51,Apple,M2,M2 8-Cores,20,8,15.3,IPS level panel,بدون درایو نوری,Unified,SSD,Apple Mac OS,Apple,,لیتیوم پلیمری
579,12799873,ایسوس,TUF,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),17876000.0,799000000.0,783990000,خاکستری,2.2,Intel,Corei9,13900H,24,16,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX4060,لیتیوم-یونی
580,9869287,ایسوس,,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),6147600.0,274990000.0,270800000,خاکستری,1.8,Intel,Corei5,1135G7,8,16,15.6,,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX330GDDR5,دو سلولی
581,11205236,ایسوس,ROG,marketable,اندیشه ماندگار اطلس,15674200.0,705900000.0,0,خاکستری,2.5,Intel,Corei7,13650HX,24,16,16.0,IPS level panel,بدون درایو نوری,DDR5,SSD,Microsoft Windows 11,NVIDIA,GeForceRTX4060,لیتیوم-یونی
582,12510513,لنوو,IdeaPad,marketable,سریر,6322000.0,299800000.0,277400000,خاکستری,1.65,Intel,Corei5,1155G7,8,12,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,Microsoft Windows 11,NVIDIA,GeForceMX350,لیتیوم پلیمری
583,12529210,اپل,MacBook,marketable,آروند,14126400.0,649700000.0,641900000,نقره ای,1.51,Apple,M2,M2 8-Cores,20,8,15.3,IPS level panel,بدون درایو نوری,Unified,SSD,Apple Mac OS,Apple,Integrated10Cores,لیتیوم پلیمری
584,12656284,ایسوس,Zenbook,marketable,رایانه پایتخت ویرا,8818100.0,404250000.0,352024900,خاکستری,1.5,Intel,Corei5,13500H,18,8,14.5,OLED,بدون درایو نوری,LPDDR5,SSD,Microsoft Windows 11,Intel,IRISXE,لیتیوم-یونی
585,12117417,لنوو,AMN,marketable,بازرگانی مهر کارن,3324500.0,159500000.0,100000000,مشکی,1.6,AMD,ATHLON,Silver 7120U,2,8,15.6,TN,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,AMD,Radeon610M,
586,11623795,لنوو,Ideapad,marketable,هوشمند سرویس فرتاک (همتا سرویس فرتاک),3400800.0,156000000.0,150000000,خاکستری,1.58,AMD,Ryzen3,7320U,4,4,15.6,TN,بدون درایو نوری,LPDDR5,SSD,بدون سیستم عامل,AMD,Radeon610M,
587,10320339,لنوو,IdeaPad,marketable,پردازش طلایی برسان,2419800.0,99000000.0,96990000,نقره ای,1.2,AMD,ATHLON,3050e,4,4,11.6,TN,بدون درایو نوری,DDR4,SSD,DOS,AMD,RADEONRXVEGA3,دو سلولی
588,10849913,لنوو,IdeaPad,marketable,سازگار,6049500.0,277500000.0,244000000,خاکستری,1.65,Intel,Corei5,1155G7,8,16,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceMX350,
589,7572093,لنوو,ThinkBook,marketable,اندیشه ماندگار اطلس,3379000.0,154890000.0,153900000,خاکستری,1.7,Intel,Corei3,1115G4,6,4,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,UHDGraphics,
590,11346682,ایسوس,,marketable,آرتین تجارت آریا تدبیر,4370900.0,207000000.0,199600000,نقره ای,1.8,Intel,Corei3,1115G4/BGA,6,20,15.6,TN,بدون درایو نوری,DDR4,هیبریدی,بدون سیستم عامل,Intel,IntelUHDGraphics,دو سلولی
591,11090444,ایسوس,Vivobook,marketable,یکپارچه (سازگار، حامی(ویستا) و آواژنگ),6343800.0,290500000.0,290000000,نقره ای,1.8,Intel,Corei5,1235U,12,16,16.0,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,IrisXe,لیتیوم-یونی
592,11340409,لنوو,ITL,marketable,ایرانیان رهجو گستر,4501700.0,206490000.0,194600000,مشکی,1.7,Intel,Corei3,1115G4,6,12,15.6,TN,بدون درایو نوری,DDR4,,بدون سیستم عامل,NVIDIA,GeForceMX350,
593,11397508,لنوو,Thinkbook,marketable,ایرانیان رهجو گستر,4774200.0,219400000.0,196200000,خاکستری,1.7,Intel,Corei3,1115G4,6,8,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,MX450,لیتیوم-یونی
594,12297997,ایسوس,Creator,marketable,ویستا سرویس,11881000.0,543000000.0,490000000,مشکی,1.8,Intel,Corei7,13620H,24,16,15.6,OLED,بدون درایو نوری,DDR5,SSD,Microsoft Windows 11,NVIDIA,GeForceRTX3050,
595,5948001,لنوو,IdeaPad,marketable,پردازش طلایی برسان,2114600.0,97000000.0,93100000,خاکستری,1.2,AMD,ATHLON,Silver 3050e,4,4,11.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,AMD,RadeonGraphics,
596,11485742,ایسوس,TUF,marketable,بانی نو,9788200.0,438750000.0,409500000,مشکی,2.2,Intel,Corei5,11400H,12,32,15.6,IPS level panel,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,NVIDIA,GeForceRTX2050,لیتیوم-یونی
597,11462510,ایسوس,,marketable,آرتین تجارت آریا تدبیر,6496400.0,297600000.0,0,نقره ای,1.8,Intel,Corei5,1135G7,8,16,15.6,,بدون درایو نوری,DDR4,SSD,Microsoft Windows 11,NVIDIA,GeForceMX330,
598,5340651,مایکروسافت,Surface,marketable,امرتات,6431000.0,279900000.0,264900000,آبی یخی,1.11,Intel,Corei5,1035G1,6,8,12.4,PixelSense Display,بدون درایو نوری,LPDDR4X,SSD,Microsoft Windows 10,Intel,UHDGraphics,
599,13027862,لنوو,Ideapad,marketable,آرتین تجارت آریا تدبیر,2681400.0,122900000.0,115000000,نقره ای,1.5,Intel,Celeron,N4020,4,4,15.6,TN,بدون درایو نوری,DDR4,SSD,بدون سیستم عامل,Intel,UHDGraphics,
