,Product_id,manufacturer,Device Type,Status,Warranty_id,Warranty_price,org_price,last_month_price,Color,Weight,Processor Manufacturer,Processor Series,Processor Model,Processor Cache Memory,RAM Memory,Screen Size,Screen Type,Optical Drive,RAM Type,Internal Memory Type,Operating System,Graphics Card Manufacturer,Graphics Card Model,Battery Cell Count
974,11963,ایسوس,,out_of_stock,,,,0,,2.44,Intel,Corei5,2450M,سه,4,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,,بدون سیستم عامل,Intel,HDGraphics3000,شش سلولی
975,12000,دل,Inspiron,out_of_stock,,,,0,,2.09,Intel,Corei5,3317U,سه,4,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT625M,شش سلولی
976,12004,اچ‌ پی,,out_of_stock,,,,0,,1.8,Intel,Corei3,3217U,سه,2,14.0,TFT LED-backlit LCD,بدون درایو نوری,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics4000,چهار سلولی
977,12084,لنوو,,out_of_stock,,,,0,,2.15,Intel,Corei5,3210M,سه,4,14.0,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDgraphics4000,شش سلولی
978,12086,لنوو,,out_of_stock,,,,0,,2.6,Intel,Celeron,B830,2,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,Intel,HDGraphics,شش سلولی
979,12115,لنوو,,out_of_stock,,,,0,,2.35,Intel,Corei3,2330M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,,بدون سیستم عامل,NVIDIA,GeForce410MDDR3GPU,شش سلولی
980,3430,اچ‌ پی,,out_of_stock,,,,0,,2.5,Intel,Corei5,2410M,سه,4,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,AMD,RadeonHD6470MDDR3,شش سلولی
981,4023,ایسوس,,out_of_stock,,,,0,,1.98,Intel,Corei5,2430M 2.4GHz,سه,4,14.1,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT520M,شش سلولی
982,4070,دل,,out_of_stock,,,,0,,2.44,Intel,Corei3,2330M,سه,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,هارددیسک,بدون سیستم عامل,NVIDIA,GeForceGT525M,شش سلولی
983,4106,ایسوس,,out_of_stock,,,,0,,2.6,Intel,Corei3,370M,سه,2,15.6,TFT LED-backlit LCD,DVD-RW,DDR3,,بدون سیستم عامل,Intel,GMAHDGraphics,شش سلولی
