,Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Type,Screen Size,Screen_resolution_width,Screen_resolution_height,predict
129,Intel,Corei7,11800H,DDR4,32,0,0,Nvidia,4,GEFORCERTX3070,lenovo,63450000,digikala,IPS,15.6,1080,1920,52332116.9761656
130,Intel,Corei7,1065 G7,DDR4,16,512,0,Nvidia,2,NVIDIA Geforce MX330,asus,30683000,meghdad,OLED,15.6,1080,1920,42132182.1603897
131,Intel,Celeron,N4120,DDR4,4,0,0,Intel,4,UHDGraphics600,hp,15840000,digikala,TN,15.6,1080,1920,17026770.27777778
132,Intel,Corei5,11300H,DDR4,8,0,0,Nvidia,4,GeForce RTX 3050,asus,36900000,digikala,IPS,15.6,1080,1920,40281523.118284225
133,Intel,Corei7,12700H,DDR4,16,0,0,Intel,4,IrisXe,asus,41400000,digikala,OLED,15.6,1080,1920,44979698.139048815
134,Intel,Corei3,1215U,DDR4,12,512,0,Intel,4,UHD,asus,19434000,meghdad,OLED,15.6,1080,1920,22111995.486013986
135,Intel,Corei5,11400H,DDR4,32,0,0,Nvidia,4,GeForceRTX2050,asus,44100000,digikala,IPS,15.6,1080,1920,45330162.07325417
136,Intel,Corei3,I3 1115G4,DDR4,8,256,1024,Intel,4,UHD,lenovo,16290000,meghdad,full hd,15.6,1080,1920,17103849.57090862
137,Intel,Pentium,Pentium Gold 6405U,DDR4,8,0,0,Nvidia,4,MX130,lenovo,20900000,digikala,lcd,15.6,1080,1920,17072056.5
138,Intel,Corei5,11400H,DDR4,16,1024,0,Nvidia,4,GeForce RTX2050,asus,39249000,meghdad,IPS,15.6,1080,1920,43644816.8220065
139,Intel,Corei7,1355U,DDR4,12,1024,0,Intel,4,Intel Iris Xe Graphics,asus,32364000,meghdad,OLED,15.6,1080,1920,116616221.6983905
140,Intel,Corei3,1155G7,DDR4,12,256,0,Nvidia,2,GeForce® MX330,asus,21784000,meghdad,full hd,15.6,1080,1920,19965997.023809526
141,Intel,Corei9,12900H,DDR4,16,0,0,Nvidia,4,GeForceRTX3070Ti,msi,94650000,digikala,IPS,15.6,1080,1920,91995186.66666669
